Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,NBA,DET,20,46,4,,25.9,6-Jun,217,,66,15965,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078
2018-19,NBA,DET,41,41,3,,26.9,6-Jun,225,,82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778
2017-18,NBA,DET,39,43,4,,25.9,6-Jun,224,,82,19805,3208,7129,0.45,886,2373,0.373,2322,4756,0.488,1207,1621,0.745,830,2756,3586,1868,628,317,1103,1508,8509
2016-17,NBA,DET,37,45,5,,25.4,7-Jun,229,,82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309
2015-16,NBA,DET,44,38,3,,25,7-Jun,230,,82,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361
2014-15,NBA,DET,32,50,5,,25.9,6-Jun,222,,82,19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077
2013-14,NBA,DET,29,53,4,,24.7,6-Jun,222,,82,19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286
2012-13,NBA,DET,29,53,4,,25.3,7-Jun,225,,82,19805,2979,6638,0.449,513,1440,0.356,2466,5198,0.474,1307,1870,0.699,991,2463,3454,1742,574,400,1241,1623,7778
2011-12,NBA,DET,25,41,4,,26.3,6-Jun,220,,66,15965,2291,5232,0.438,317,916,0.346,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997
2010-11,NBA,DET,30,52,4,,27.2,7-Jun,217,,82,19880,3056,6647,0.46,472,1256,0.376,2584,5391,0.479,1367,1854,0.737,931,2236,3167,1730,595,328,1067,1629,7951
2009-10,NBA,DET,27,55,5,,26.7,7-Jun,218,,82,19780,2940,6602,0.445,374,1190,0.314,2566,5412,0.474,1455,1998,0.728,1053,2242,3295,1591,596,313,1100,1822,7709
2008-09,NBA,DET,39,43,3,,28.2,6-Jun,212,,82,19905,2981,6559,0.454,377,1079,0.349,2604,5480,0.475,1388,1849,0.751,949,2448,3397,1689,493,377,973,1712,7727
2007-08,NBA,DET,59,23,1,,28.3,7-Jun,214,,82,19730,2999,6551,0.458,487,1330,0.366,2512,5221,0.481,1507,1965,0.767,974,2423,3397,1831,583,472,956,1688,7992
2006-07,NBA,DET,53,29,1,,29,7-Jun,213,,82,19880,2942,6484,0.454,449,1305,0.344,2493,5179,0.481,1539,1988,0.774,948,2374,3322,1768,583,472,1001,1672,7872
2005-06,NBA,DET,64,18,1,,28.5,7-Jun,214,,82,19830,2983,6558,0.455,557,1451,0.384,2426,5107,0.475,1418,1950,0.727,975,2347,3322,1971,580,490,931,1513,7941
2004-05,NBA,DET,54,28,1,,27.9,7-Jun,211,,82,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.463,1588,2150,0.739,1054,2507,3561,1787,576,497,1133,1638,7653
2003-04,NBA,DET,54,28,2,,27.4,6-Jun,214,,82,19780,2747,6314,0.435,333,968,0.344,2414,5346,0.452,1561,2074,0.753,1014,2492,3506,1702,659,570,1241,1664,7388
2002-03,NBA,DET,50,32,1,,29,6-Jun,215,,82,19905,2700,6277,0.43,533,1488,0.358,2167,4789,0.452,1559,2021,0.771,883,2445,3328,1620,556,468,1104,1748,7492
2001-02,NBA,DET,50,32,1,,29.5,6-Jun,214,,82,19680,2845,6300,0.452,567,1509,0.376,2278,4791,0.475,1478,1954,0.756,810,2366,3176,1765,648,565,1193,1695,7735
2000-01,NBA,DET,32,50,5,,27.1,6-Jun,213,,82,19855,2919,6880,0.424,389,1112,0.35,2530,5768,0.439,1610,2233,0.721,1108,2626,3734,1629,613,447,1304,1955,7837
1999-00,NBA,DET,42,40,4,,28.3,6-Jun,213,,82,19830,3044,6635,0.459,439,1223,0.359,2605,5412,0.481,1956,2506,0.781,917,2458,3375,1707,665,273,1288,2011,8483
1998-99,NBA,DET,29,21,3,,27.7,6-Jun,215,,50,12050,1660,3716,0.447,248,679,0.365,1412,3037,0.465,950,1283,0.74,605,1412,2017,1009,444,208,790,1139,4518
1997-98,NBA,DET,37,45,6,,27.2,6-Jun,213,,82,19955,2862,6373,0.449,293,938,0.312,2569,5435,0.473,1704,2288,0.745,1044,2338,3382,1597,678,344,1198,1805,7721
1996-97,NBA,DET,54,28,3,,28.2,6-Jun,210,,82,19830,2827,6095,0.464,582,1499,0.388,2245,4596,0.488,1487,1995,0.745,858,2292,3150,1554,632,283,1041,1652,7723
1995-96,NBA,DET,46,36,5,,26.8,6-Jun,212,,82,19830,2810,6122,0.459,545,1350,0.404,2265,4772,0.475,1657,2206,0.751,884,2440,3324,1610,506,352,1215,1953,7822
1994-95,NBA,DET,28,54,7,,26.9,6-Jun,215,,82,19730,3060,6633,0.461,494,1396,0.354,2566,5237,0.49,1439,1941,0.741,958,2204,3162,1872,705,420,1318,2151,8053
1993-94,NBA,DET,20,62,7,,27.5,6-Jun,206,,82,19730,3169,7017,0.452,358,1041,0.344,2811,5976,0.47,1253,1715,0.731,1027,2320,3347,1767,602,309,1236,1935,7949
1992-93,NBA,DET,40,42,6,,29.9,6-Jun,208,,82,19780,3267,7211,0.453,292,908,0.322,2975,6303,0.472,1426,1957,0.729,1293,2315,3608,1941,580,249,1152,1747,8252
1991-92,NBA,DET,48,34,3,,30.1,6-Jun,208,,82,19780,3191,6867,0.465,165,526,0.314,3026,6341,0.477,1566,2108,0.743,1210,2421,3631,1899,546,357,1212,1646,8113
1990-91,NBA,DET,50,32,2,,30.5,6-Jun,213,,82,19805,3194,6875,0.465,131,440,0.298,3063,6435,0.476,1686,2211,0.763,1206,2452,3658,1825,487,367,1181,1869,8205
1989-90,NBA,DET,59,23,1,,29.5,6-Jun,212,,82,19805,3333,6980,0.478,177,541,0.327,3156,6439,0.49,1713,2252,0.761,1185,2458,3643,1996,512,418,1233,1961,8556
1988-89,NBA,DET,63,19,1,,28.6,6-Jun,212,,82,19830,3395,6879,0.494,120,400,0.3,3275,6479,0.505,1830,2379,0.769,1154,2546,3700,2027,522,406,1336,1939,8740
1987-88,NBA,DET,54,28,1,,27.4,6-Jun,212,,82,19780,3461,7018,0.493,58,202,0.287,3403,6816,0.499,1977,2612,0.757,1181,2482,3663,2011,588,394,1348,1957,8957
1986-87,NBA,DET,52,30,2,,26.7,6-Jun,211,,82,19830,3544,7237,0.49,39,169,0.231,3505,7068,0.496,1991,2602,0.765,1245,2649,3894,2021,643,436,1417,2078,9118
1985-86,NBA,DET,46,36,3,,26.5,6-Jun,213,,82,19780,3754,7750,0.484,55,182,0.302,3699,7568,0.489,1800,2300,0.783,1276,2461,3737,2319,738,340,1343,2101,9363
1984-85,NBA,DET,46,36,2,,26.9,6-Jun,211,,82,19830,3840,7999,0.48,45,199,0.226,3795,7800,0.487,1783,2262,0.788,1403,2534,3937,2302,691,397,1341,2076,9508
1983-84,NBA,DET,49,33,2,,25.4,6-Jun,211,,82,19905,3798,7910,0.48,32,141,0.227,3766,7769,0.485,1974,2547,0.775,1427,2434,3861,2256,697,417,1310,2177,9602
1982-83,NBA,DET,37,45,3,,24.6,6-Jun,211,,82,19880,3623,7602,0.477,72,272,0.265,3551,7330,0.484,1921,2588,0.742,1312,2477,3789,2108,679,572,1557,2122,9239
1981-82,NBA,DET,39,43,3,,24.4,6-Jun,211,,82,19830,3561,7391,0.482,52,213,0.244,3509,7178,0.489,1938,2581,0.751,1298,2345,3643,2027,741,564,1629,2160,9112
1980-81,NBA,DET,21,61,6,,24.3,6-Jun,207,,82,19755,3236,6986,0.463,13,84,0.155,3223,6902,0.467,1689,2330,0.725,1201,2111,3312,1819,884,492,1759,2125,8174
1979-80,NBA,DET,16,66,6,,24.7,6-Jun,205,,82,19780,3643,7596,0.48,57,219,0.26,3586,7377,0.486,1590,2149,0.74,1226,2415,3641,1950,783,562,1742,2069,8933
1978-79,NBA,DET,30,52,4,,25.4,6-Jun,206,,82,19780,3708,7802,0.475,,,,3708,7802,0.475,1607,2242,0.717,1303,2380,3683,2092,847,550,1599,2141,9023
1977-78,NBA,DET,38,44,4,,25.9,6-Jun,209,,82,19855,3552,7424,0.478,,,,3552,7424,0.478,1832,2490,0.736,1229,2601,3830,1840,866,330,1858,1980,8936
1976-77,NBA,DET,44,38,2,,25.8,6-Jun,207,,82,19730,3764,7792,0.483,,,,3764,7792,0.483,1442,1960,0.736,1169,2495,3664,2004,877,459,1718,2200,8970
1975-76,NBA,DET,36,46,2,,25.8,5-Jun,207,,82,19780,3524,7598,0.464,,,,3524,7598,0.464,1557,2049,0.76,1205,2545,3750,1751,786,332,1619,2086,8605
1974-75,NBA,DET,40,42,3,,26.6,6-Jun,209,,82,19705,3289,7053,0.466,,,,3289,7053,0.466,1533,1975,0.776,1002,2515,3517,1916,679,380,1557,1866,8111
1973-74,NBA,DET,52,30,3,,26.2,6-Jun,209,,82,19755,3453,7515,0.459,,,,3453,7515,0.459,1654,2164,0.764,1200,2681,3881,1956,793,419,1763,1930,8560
1972-73,NBA,DET,40,42,3,,25.4,5-Jun,209,,82,19780,3666,7916,0.463,,,,3666,7916,0.463,1710,2294,0.745,,,4105,1882,,,,1812,9042
1971-72,NBA,DET,26,56,4,,26.2,5-Jun,209,,82,19805,3482,7665,0.454,,,,3482,7665,0.454,1981,2653,0.747,,,3970,1687,,,,1954,8945
1970-71,NBA,DET,45,37,4,,25.8,5-Jun,204,,82,19855,3468,7730,0.449,,,,3468,7730,0.449,2093,2808,0.745,,,3923,1696,,,,1969,9029
1969-70,NBA,DET,31,51,7,,26.2,5-Jun,203,,82,19855,3565,7657,0.466,,,,3565,7657,0.466,2116,2881,0.734,,,3831,1709,,,,1930,9246
1968-69,NBA,DET,32,50,6,,26.2,5-Jun,204,,82,19755,3609,7997,0.451,,,,3609,7997,0.451,2141,3025,0.708,,,4471,1757,,,,2105,9359
1967-68,NBA,DET,40,42,4,,26,5-Jun,207,,82,19780,3755,8386,0.448,,,,3755,8386,0.448,2215,3129,0.708,,,5452,1700,,,,2240,9725
1966-67,NBA,DET,30,51,5,,25.2,6-Jun,209,,81,19590,3523,8542,0.412,,,,3523,8542,0.412,1969,2725,0.723,,,5511,1465,,,,2198,9015
1965-66,NBA,DET,22,58,5,,25,5-Jun,210,,80,19200,3475,8502,0.409,,,,3475,8502,0.409,1877,2734,0.687,,,5427,1569,,,,2016,8827
1964-65,NBA,DET,31,49,4,,24.4,6-Jun,210,,80,19325,3467,8297,0.418,,,,3467,8297,0.418,1747,2537,0.689,,,5394,1609,,,,2058,8681
1963-64,NBA,DET,23,57,5,,25.5,6-Jun,208,,80,,3346,7943,0.421,,,,3346,7943,0.421,1928,2685,0.718,,,5145,1633,,,,2235,8620
1962-63,NBA,DET,34,46,3,,24.9,6-Jun,209,,80,,3534,8188,0.432,,,,3534,8188,0.432,2044,2852,0.717,,,5315,1731,,,,2181,9112
1961-62,NBA,DET,37,43,3,,26,5-Jun,201,,80,,3472,8366,0.415,,,,3472,8366,0.415,2290,3142,0.729,,,5823,1723,,,,2040,9234
1960-61,NBA,DET,34,45,3,,25.8,5-Jun,200,,79,,3481,8357,0.417,,,,3481,8357,0.417,2408,3240,0.743,,,5813,1866,,,,2157,9370
1959-60,NBA,DET,30,45,2,,27.1,5-Jun,196,,75,,3146,7920,0.397,,,,3146,7920,0.397,2075,2847,0.729,,,5491,1472,,,,1983,8367
1958-59,NBA,DET,28,44,3,,27.5,5-Jun,195,,72,,2811,7305,0.385,,,,2811,7305,0.385,1943,2627,0.74,,,4860,1317,,,,1881,7565
1957-58,NBA,DET,33,39,2,,28.4,5-Jun,197,,72,,2746,7295,0.376,,,,2746,7295,0.376,2093,2774,0.755,,,5168,1264,,,,1807,7585
1956-57,NBA,FTW,34,38,3,,26.6,5-Jun,194,,72,,2532,6612,0.383,,,,2532,6612,0.383,1874,2510,0.747,,,4289,1398,,,,1643,6938
1955-56,NBA,FTW,37,35,1,,27.1,5-Jun,199,,72,,2396,6174,0.388,,,,2396,6174,0.388,2002,2729,0.734,,,3974,1752,,,,1789,6794
1954-55,NBA,FTW,43,29,1,,27.4,4-Jun,194,,72,,2333,5980,0.39,,,,2333,5980,0.39,1986,2710,0.733,,,3826,1737,,,,1753,6652
1953-54,NBA,FTW,40,32,3,,26.7,4-Jun,196,,72,,1952,5187,0.376,,,,1952,5187,0.376,1689,2315,0.73,,,3785,1474,,,,1669,5593
1952-53,NBA,FTW,36,33,3,,26,5-Jun,202,,69,,1876,5230,0.359,,,,1876,5230,0.359,1839,2491,0.738,,,3548,1438,,,,2119,5591
1951-52,NBA,FTW,29,37,4,,26.5,4-Jun,198,,66,,1771,5013,0.353,,,,1771,5013,0.353,1609,2194,0.733,,,3619,1403,,,,1751,5151
1950-51,NBA,FTW,32,36,3,,,,,,68,,2002,5927,0.338,,,,2002,5927,0.338,1718,2387,0.72,,,3725,1142,,,,1961,5722
1949-50,NBA,FTW,40,28,3,,,,,,68,,1878,5901,0.318,,,,1878,5901,0.318,1634,2331,0.701,,,,1364,,,,2065,5390
1948-49,BAA,FTW,22,38,5,,,,,,60,,1536,5370,0.286,,,,1536,5370,0.286,1385,1979,0.7,,,,1082,,,,1722,4457
